# commander_slug	card_name	image_file	date_added
hakbal-of-the-surging-soul	Namor, Scourge of the Seas	namor-scourge-of-the-seas.jpg	2026-07-28
hakbal-of-the-surging-soul	Daughter of the Deep	daughter-of-the-deep.jpg	2026-07-28
hakbal-of-the-surging-soul	Attuma, Atlantean Warlord	attuma-atlantean-warlord.jpg	2026-07-28
hakbal-of-the-surging-soul	Namor the Sub-Mariner	namor-the-sub-mariner.jpg	2026-07-28
hakbal-of-the-surging-soul	Atlantean Cavalry	atlantean-cavalry.jpg	2026-07-28
edgar-markov	Dark Fortress	dark-fortress.jpg	2026-07-28
edgar-markov	Bloodline Recollector	bloodline-recollector.jpg	2026-07-28
edgar-markov	Orcrist, Goblin-cleaver	orcrist-goblin-cleaver.jpg	2026-07-28
edgar-markov	Hell's Kitchen	hells-kitchen.jpg	2026-07-28
edgar-markov	Fisk Tower	fisk-tower.jpg	2026-07-28
edgar-markov	Gleaming Splendor	gleaming-splendor.jpg	2026-08-15
ghyrson-starn-kelermorph	Gandalf, Goblins' Bane	gandalf-goblins-bane.jpg	2026-08-15
ghyrson-starn-kelermorph	Hawkeye's Bow	hawkeyes-bow.jpg	2026-08-15
ghyrson-starn-kelermorph	Wizard's Staff	wizards-staff.jpg	2026-08-15
ghyrson-starn-kelermorph	Mjölnir, Hammer of Thor	mjölnir-hammer-of-thor.jpg	2026-08-15
ghyrson-starn-kelermorph	Hawkeye, Avenging Archer	hawkeye-avenging-archer.jpg	2026-08-15
hearthhull-the-worldseed	Mole Man, Moloid Master	mole-man-moloid-master.jpg	2026-08-16
hearthhull-the-worldseed	Through the Forest Gate	through-the-forest-gate.jpg	2026-08-16
hearthhull-the-worldseed	Training Compound	training-compound.jpg	2026-08-16
hearthhull-the-worldseed	Ka-Zar of the Savage Land	ka-zar-of-the-savage-land.jpg	2026-08-16
hearthhull-the-worldseed	Dark Fortress	dark-fortress.jpg	2026-08-16
kratos-stoic-father	Thor Odinson	thor-odinson.jpg	2026-08-16
kratos-stoic-father	Sif's Spearmaster	sifs-spearmaster.jpg	2026-08-16
kratos-stoic-father	Thor, Asgard's Avenger	thor-asgards-avenger.jpg	2026-08-16
kratos-stoic-father	Thor, God of Thunder	thor-god-of-thunder.jpg	2026-08-16
kratos-stoic-father	Loki, God of Lies	loki-god-of-lies.jpg	2026-08-16
atreus-impulsive-son-kratos-stoic-father	Loki, God of Mischief	loki-god-of-mischief.jpg	2026-08-16
atreus-impulsive-son-kratos-stoic-father	Kid Loki	kid-loki.jpg	2026-08-16
atreus-impulsive-son-kratos-stoic-father	Thor, God of Thunder	thor-god-of-thunder.jpg	2026-08-16
atreus-impulsive-son-kratos-stoic-father	Thor Odinson	thor-odinson.jpg	2026-08-16
atreus-impulsive-son-kratos-stoic-father	Mjölnir, Hammer of Thor	mjölnir-hammer-of-thor.jpg	2026-08-16
anje-falkenrath	Misty Knight, Hero for Hire	misty-knight-hero-for-hire.jpg	2026-08-16
anje-falkenrath	Hawkeye's Bow	hawkeyes-bow.jpg	2026-08-16
anje-falkenrath	Spider-Man, New Champion	spider-man-new-champion.jpg	2026-08-16
anje-falkenrath	Living Laser	living-laser.jpg	2026-08-16
anje-falkenrath	Dark Fortress	dark-fortress.jpg	2026-08-16
